comment,label
Amazing work! Loved the animation.,Praise
"This is beautiful, great job!",Praise
Loved the editing!,Praise
Brilliant animation style!,Praise
"Top-quality work, impressive!",Praise
So clean and smooth!,Praise
This deserves way more views!,Praise
Masterpiece!,Praise
Absolutely stunning visuals!,Praise
Incredible attention to detail!,Praise
This looks fantastic!,Praise
The colors are perfect!,Praise
"Wow, perfect execution!",Praise
I love this so much!,Praise
One of your best!,Praise
This is on another level!,Praise
You nailed it!,Praise
Gorgeous work!,Praise
Such a satisfying animation!,Praise
This is art!,Praise
Wonderful craftsmanship!,Praise
A truly amazing piece!,Praise
Amazing attention to detail!,Praise
Beautiful aesthetic!,Praise
"Wow, great animation!",Praise
"Keep going, you're doing great!",Support
"Don’t stop, you're improving!",Support
Always supporting you!,Support
"You're doing amazing, keep it up!",Support
You'll get better each time!,Support
We believe in you!,Support
Stay strong and keep creating!,Support
You got this!,Support
Don't give up!,Support
We’re rooting for you!,Support
You’re on the right track!,Support
I know you can do it!,Support
Trust your skills!,Support
Progress looks great!,Support
Keep practicing!,Support
Never stop creating!,Support
This journey is worth it!,Support
We appreciate your hard work!,Support
Your dedication is inspiring!,Support
You are improving fast!,Support
Nice effort!,Support
Proud of you!,Support
Keep pushing forward!,Support
"Good job, don’t stop!",Support
Your work matters!,Support
The animation was okay but the voiceover felt off.,Constructive Criticism
"Great idea, but the pacing could improve.",Constructive Criticism
"Loved the visuals, but audio needs work.",Constructive Criticism
The timing felt a bit rushed.,Constructive Criticism
Maybe try smoother transitions next time.,Constructive Criticism
"The start was strong, but the ending felt abrupt.",Constructive Criticism
"Nice effort, but the colors feel too saturated.",Constructive Criticism
"Good concept, but execution needs polish.",Constructive Criticism
The motion feels slightly unnatural.,Constructive Criticism
Try adding more depth to the background.,Constructive Criticism
"Loved the theme, but sound design is weak.",Constructive Criticism
The animation speed feels inconsistent.,Constructive Criticism
"Good job, but shadows need improvement.",Constructive Criticism
The character movements feel stiff.,Constructive Criticism
Maybe adjust the lighting a bit.,Constructive Criticism
"Nice start, but you can improve the symmetry.",Constructive Criticism
The loop isn't very smooth.,Constructive Criticism
"Great potential, but needs refinement.",Constructive Criticism
"Nice attempt, but textures feel flat.",Constructive Criticism
Try reducing motion blur.,Constructive Criticism
The idea is nice but feels incomplete.,Constructive Criticism
Your animation lacks consistent framing.,Constructive Criticism
More detail could improve the design.,Constructive Criticism
Consider improving the contrast.,Constructive Criticism
Structure is good but pacing is off.,Constructive Criticism
"This is trash, quit now.",Hate/Abuse
Worst animation ever.,Hate/Abuse
You have zero talent.,Hate/Abuse
Stop posting garbage.,Hate/Abuse
This sucks.,Hate/Abuse
"Horrible work, can't believe you posted this.",Hate/Abuse
You're terrible at this.,Hate/Abuse
Delete your account.,Hate/Abuse
This is embarrassing.,Hate/Abuse
Pathetic effort.,Hate/Abuse
Absolutely awful.,Hate/Abuse
Nobody wants to see this.,Hate/Abuse
Your work makes no sense.,Hate/Abuse
Terrible quality.,Hate/Abuse
You ruined it.,Hate/Abuse
You're the worst creator.,Hate/Abuse
Do you even try?,Hate/Abuse
Completely useless.,Hate/Abuse
What a joke.,Hate/Abuse
Disgusting work.,Hate/Abuse
Pure trash.,Hate/Abuse
Awful execution.,Hate/Abuse
This is a failure.,Hate/Abuse
Can't believe how bad this is.,Hate/Abuse
This is pathetic.,Hate/Abuse
I'll report you if this continues.,Threat
Stop or I'll take action.,Threat
I will get your account banned.,Threat
Fix this or I’ll escalate it.,Threat
"I’m warning you, stop posting this.",Threat
This better change or there will be consequences.,Threat
I’ll make sure you regret this.,Threat
I’ll expose you if you post this again.,Threat
I will take legal action.,Threat
This will not end well for you.,Threat
This reminded me of my childhood.,Emotional
This made me cry.,Emotional
"So nostalgic, wow.",Emotional
Brought back so many memories.,Emotional
This hit me emotionally.,Emotional
I felt this deeply.,Emotional
This warmed my heart.,Emotional
Such a comforting vibe.,Emotional
This feels personal to me.,Emotional
I’m emotionally attached to this.,Emotional
This made my day better.,Emotional
I'm tearing up.,Emotional
This touched my soul.,Emotional
Made me smile instantly.,Emotional
This gave me chills.,Emotional
Felt this in my heart.,Emotional
This means a lot to me.,Emotional
Such a wholesome piece.,Emotional
This took me back.,Emotional
It feels peaceful.,Emotional
This made me happy.,Emotional
Such a strong emotional vibe.,Emotional
This is healing.,Emotional
Beautifully emotional.,Emotional
This is so heartwarming.,Emotional
Follow me for followers!,Spam
Check out my page!,Spam
Free giveaways here!,Spam
Win an iPhone now!,Spam
Click this link!,Spam
DM me for promo!,Spam
New crypto site!,Spam
Buy this product!,Spam
Join our group!,Spam
Earn money fast!,Spam
Subscribe to my channel!,Spam
Visit my profile!,Spam
Promo codes available!,Spam
Big sale now!,Spam
Check my story!,Spam
Get followers instantly!,Spam
Buy now!,Spam
Discounts available!,Spam
Limited offer!,Spam
Click here quickly!,Spam
Join the giveaway!,Spam
Boost your account!,Spam
New product launch!,Spam
Share to win!,Spam
Huge discount today!,Spam
Can you make one on topic X?,Question/Suggestion
How did you animate this?,Question/Suggestion
What software do you use?,Question/Suggestion
Could you explain your process?,Question/Suggestion
Can you try a different style next time?,Question/Suggestion
Will you post a tutorial?,Question/Suggestion
Can you do one with animals?,Question/Suggestion
Do you take requests?,Question/Suggestion
Can you make a longer version?,Question/Suggestion
What inspired this?,Question/Suggestion
Can you make a series?,Question/Suggestion
Can you add sound effects?,Question/Suggestion
Could you slow it down a little?,Question/Suggestion
Can you explain the meaning?,Question/Suggestion
Can you make one about space?,Question/Suggestion
